"ds_owner","hemisphere","id","gender","age_group","handedness","education","color_blindness","hours_sleep","art_light_r_w","light_dir_r_s","photo_training","carto_gis_training","geovis_3d_training","satellite_training","photo_exposure","carto_gis_exposure","geovis_3d_exposure","satellite_exposure","mask","circle_below","circle_above","shapes_01","shapes_02","shapes_03","shapes_04","shapes_05","shapes_06","shapes_07","shapes_08","shapes_09","shapes_10","q10_r000_0","q10_r000_270","q10_r000_292_5","q10_r000_315","q10_r000_337_5","q20_r045_0","q20_r045_270","q20_r045_292_5","q20_r045_315","q20_r045_337_5","q30_r090_0","q30_r090_270","q30_r090_292_5","q30_r090_315","q30_r090_337_5","q40_r135_0","q40_r135_270","q40_r135_292_5","q40_r135_315","q40_r135_337_5","q50_v000_0","q50_v000_270","q50_v000_292_5","q50_v000_315","q50_v000_337_5","q60_v045_0","q60_v045_270","q60_v045_292_5","q60_v045_315","q60_v045_337_5","q70_v090_0","q70_v090_270","q70_v090_292_5","q70_v090_315","q70_v090_337_5","q80_v135_0","q80_v135_270","q80_v135_292_5","q80_v135_315","q80_v135_337_5"
"v","southern",45,"f","20-29","r","bachelor","no","4-5","overhead","b,c,d,i,k,l,m",3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,5,5,5,4,5,5,2,4,1,5,5,5,1,2,2,5,5,2,2,2,1,4,1,1,1,2,1,2,4,1,2,1,1,2,2,1,5
"v","southern",46,"f","20-29","r","bachelor","no","less_than_3","overhead","g",4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,2,5,1,2,1,1,5,1,1,1,1,5,1,1,1,1,1,1,2,1
"v","southern",47,"f","20-29","r","bachelor","no","4-5","overhead","e,h",1,3,3,3,"never",NA,"never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,5,5,1,5,5,5,5,1,4,5,5,5,1,5,5,5,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,5,1
"v","southern",48,"f","20-29","r","bachelor","no","6-7","overhead","c,f,g",5,4,4,3,"daily",NA,"daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,5,4,4,5,5,5,4,5,4,5,5,5,4,4,4,4,1,5,2,1,1,1,1,2,1,2,1,5,1,1,1,3,4,3,1,1
"v","southern",49,"m","20-29","r","bachelor","no","6-7","desktop","b,c,d,k,l,m",5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1
"v","southern",50,"m","20-29","r","bachelor","no","6-7","overhead","b,c,d,f,l",4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,5,5,4,1,4,5,5,5,2,4,5,5,5,1,5,5,5,1,5,1,2,1,1,4,5,1,1,1,3,2,1,1,1,5,1,2,1
"v","southern",51,"m","20-29","r","bachelor","no","7-8","overhead","m",3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1
"v","southern",52,"f","20-29","r","bachelor","no","7-8","overhead","c,g,m",1,5,5,5,NA,NA,"daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,1,1,1
"v","southern",53,"f","20-29","r","bachelor","no","3-4","overhead","c",5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,5,4,5,5,5,5,5,4,4,4,4,5,5,5,5,4,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,1
"v","southern",54,"m","20-29","r","bachelor","no","6-7","overhead","a,b,c",5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,5,5,1,5,5,5,5,4,5,4,5,5,1,5,5,5,1,5,1,1,1,1,5,5,1,1,1,4,5,1,1,1,5,1,1,1
